,title,artist,rank,year,popularity,File Path
0,God's Plan,Drake,1,2018,Not Popular,audio_files/God's Plan.mp3
1,Perfect,Ed Sheeran,2,2018,Not Popular,audio_files/Perfect.mp3
2,Meant To Be,Bebe Rexha & Florida Georgia Line,3,2018,Not Popular,audio_files/Meant To Be.mp3
3,Havana,Camila Cabello Featuring Young Thug,4,2018,Not Popular,audio_files/Havana.mp3
4,Rockstar,Post Malone Featuring 21 Savage,5,2018,Not Popular,audio_files/Rockstar.mp3
5,Psycho,Post Malone Featuring Ty Dolla $ign,6,2018,Not Popular,audio_files/Psycho.mp3
6,I Like It,"Cardi B, Bad Bunny & J Balvin",7,2018,Not Popular,audio_files/I Like It.mp3
7,The Middle,"Zedd, Maren Morris & Grey",8,2018,Not Popular,audio_files/The Middle.mp3
8,In My Feelings,Drake,9,2018,Not Popular,audio_files/In My Feelings.mp3
9,Girls Like You,Maroon 5 Featuring Cardi B,10,2018,Not Popular,audio_files/Girls Like You.mp3
10,Nice For What,Drake,11,2018,Not Popular,audio_files/Nice For What.mp3
11,Lucid Dreams,Juice WRLD,12,2018,Not Popular,audio_files/Lucid Dreams.mp3
12,Better Now,Post Malone,13,2018,Not Popular,audio_files/Better Now.mp3
13,Finesse,Bruno Mars & Cardi B,14,2018,Not Popular,audio_files/Finesse.mp3
14,Boo'd Up,Ella Mai,15,2018,Not Popular,audio_files/Boo'd Up.mp3
15,New Rules,Dua Lipa,16,2018,Not Popular,audio_files/New Rules.mp3
16,Sad!,XXXTENTACION,17,2018,Not Popular,audio_files/Sad!.mp3
17,Never Be The Same,Camila Cabello,18,2018,Not Popular,audio_files/Never Be The Same.mp3
18,Love Lies,Khalid & Normani,19,2018,Not Popular,audio_files/Love Lies.mp3
19,No Tears Left To Cry,Ariana Grande,20,2018,Not Popular,audio_files/No Tears Left To Cry.mp3
20,Mine,Bazzi,21,2018,Not Popular,audio_files/Mine.mp3
21,Thunder,Imagine Dragons,22,2018,Not Popular,audio_files/Thunder.mp3
22,Look Alive,BlocBoy JB Featuring Drake,23,2018,Not Popular,audio_files/Look Alive.mp3
23,Delicate,Taylor Swift,24,2018,Not Popular,audio_files/Delicate.mp3
24,Yes Indeed,Lil Baby & Drake,25,2018,Not Popular,audio_files/Yes Indeed.mp3
25,Friends,Marshmello & Anne-Marie,26,2018,Not Popular,audio_files/Friends.mp3
26,Bad At Love,Halsey,27,2018,Not Popular,audio_files/Bad At Love.mp3
27,Taste,Tyga Featuring Offset,28,2018,Not Popular,audio_files/Taste.mp3
28,Let You Down,NF,29,2018,Not Popular,audio_files/Let You Down.mp3
29,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,30,2018,Not Popular,audio_files/No Limit.mp3
30,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,31,2018,Not Popular,audio_files/FEFE.mp3
31,Tequila,Dan + Shay,32,2018,Not Popular,audio_files/Tequila.mp3
32,Feel It Still,Portugal. The Man,33,2018,Not Popular,audio_files/Feel It Still.mp3
33,MotorSport,"Migos, Nicki Minaj & Cardi B",34,2018,Not Popular,audio_files/MotorSport.mp3
34,I Like Me Better,Lauv,35,2018,Not Popular,audio_files/I Like Me Better.mp3
35,Youngblood,5 Seconds Of Summer,36,2018,Not Popular,audio_files/Youngblood.mp3
36,Whatever It Takes,Imagine Dragons,37,2018,Not Popular,audio_files/Whatever It Takes.mp3
37,Ric Flair Drip,Offset & Metro Boomin,38,2018,Not Popular,audio_files/Ric Flair Drip.mp3
38,I Fall Apart,Post Malone,39,2018,Not Popular,audio_files/I Fall Apart.mp3
39,Pray For Me,The Weeknd & Kendrick Lamar,40,2018,Not Popular,audio_files/Pray For Me.mp3
40,Back To You,Selena Gomez,41,2018,Not Popular,audio_files/Back To You.mp3
41,Sicko Mode,Travis Scott,42,2018,Not Popular,audio_files/Sicko Mode.mp3
42,Walk It Talk It,Migos Featuring Drake,43,2018,Not Popular,audio_files/Walk It Talk It.mp3
43,Gucci Gang,Lil Pump,44,2018,Not Popular,audio_files/Gucci Gang.mp3
44,Him & I,G-Eazy & Halsey,45,2018,Not Popular,audio_files/Him & I.mp3
45,In My Blood,Shawn Mendes,46,2018,Not Popular,audio_files/In My Blood.mp3
46,All The Stars,Kendrick Lamar & SZA,47,2018,Not Popular,audio_files/All The Stars.mp3
47,Stir Fry,Migos,48,2018,Not Popular,audio_files/Stir Fry.mp3
48,Too Good At Goodbyes,Sam Smith,49,2018,Not Popular,audio_files/Too Good At Goodbyes.mp3
49,Love.,Kendrick Lamar Featuring Zacari,50,2018,Not Popular,audio_files/Love..mp3
50,This Is America,Childish Gambino,51,2018,Not Popular,audio_files/This Is America.mp3
51,Nonstop,Drake,52,2018,Not Popular,audio_files/Nonstop.mp3
52,Heaven,Kane Brown,53,2018,Not Popular,audio_files/Heaven.mp3
53,Bodak Yellow (Money Moves),Cardi B,54,2018,Not Popular,audio_files/Bodak Yellow (Money Moves).mp3
54,Freaky Friday,Lil Dicky Featuring Chris Brown,55,2018,Not Popular,audio_files/Freaky Friday.mp3
55,Gummo,6ix9ine,56,2018,Not Popular,audio_files/Gummo.mp3
56,Plug Walk,Rich The Kid,57,2018,Not Popular,audio_files/Plug Walk.mp3
57,Wait,Maroon 5,58,2018,Not Popular,audio_files/Wait.mp3
58,Be Careful,Cardi B,59,2018,Not Popular,audio_files/Be Careful.mp3
59,Wolves,Selena Gomez X Marshmello,60,2018,Not Popular,audio_files/Wolves.mp3
60,Bartier Cardi,Cardi B Featuring 21 Savage,61,2018,Not Popular,audio_files/Bartier Cardi.mp3
61,God Is A Woman,Ariana Grande,62,2018,Not Popular,audio_files/God Is A Woman.mp3
62,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",63,2018,Not Popular,audio_files/Big Bank.mp3
63,Sorry Not Sorry,Demi Lovato,64,2018,Not Popular,audio_files/Sorry Not Sorry.mp3
64,How Long,Charlie Puth,65,2018,Not Popular,audio_files/How Long.mp3
65,Lights Down Low,MAX Featuring gnash,66,2018,Not Popular,audio_files/Lights Down Low.mp3
66,Young Dumb & Broke,Khalid,67,2018,Not Popular,audio_files/Young Dumb & Broke.mp3
67,One Kiss,Calvin Harris & Dua Lipa,68,2018,Not Popular,audio_files/One Kiss.mp3
68,Natural,Imagine Dragons,69,2018,Not Popular,audio_files/Natural.mp3
69,You Make It Easy,Jason Aldean,70,2018,Not Popular,audio_files/You Make It Easy.mp3
