chorus_path,title,artist,rank,year,popularity,file_path,chroma_mean_1,chroma_mean_2,chroma_mean_3,tempo,spectral_centroid,spectral_bandwidth,spectral_rolloff,tonal_centroid_1,tonal_centroid_2,tonal_centroid_3,tonal_centroid_4,tonal_centroid_5,tonal_centroid_6,zero_crossing_rate,tuning
choruss\God's Plan_chorus.wav,God's Plan,Drake,1,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\God's Plan.mp3,0.46117305755615234,0.38114526867866516,0.403710275888443,151.99908088235293,2812.883857019571,2682.9928504274058,5911.7142526726975,0.01778261084278094,0.07324356021365659,-0.0072651220998809175,0.043297612057831,0.030741968026609733,0.011383965534688715,0.09939395680147059,0.43000000000000005
choruss\Perfect_chorus.wav,Perfect,Ed Sheeran,2,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Perfect.mp3,0.46406927704811096,0.309378057718277,0.29947373270988464,63.02400914634146,2601.4688674575614,2666.307088369485,5632.582607210236,-0.19828783599617028,0.03352432055707977,0.010658886675771266,0.12533492695874615,-0.0274642205159578,0.006620246455673086,0.1121542726876935,0.040000000000000036
choruss\Meant To Be_chorus.wav,Meant To Be,Bebe Rexha & Florida Georgia Line,3,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Meant To Be.mp3,0.5286882519721985,0.37428417801856995,0.5225516557693481,75.99954044117646,3062.988845825359,2604.4042787072412,5942.630732391641,-0.030113917240426877,0.13383345739857386,-0.02091818925097115,-0.06613633961160216,-0.0053598396177705196,-0.021581008051444125,0.17309192385835914,-0.010000000000000009
choruss\Havana_chorus.wav,Havana,Camila Cabello Featuring Young Thug,4,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Havana.mp3,0.35674723982810974,0.35141614079475403,0.5527254939079285,103.359375,2003.217879241868,2405.533606651061,4315.707236842105,0.11772248722268355,0.13096357853465032,0.04811627563267875,-0.17851248560415697,-0.01023239468193626,-0.0024942184712638477,0.0771370997000774,0.010000000000000009
choruss\Rockstar_chorus.wav,Rockstar,Post Malone Featuring 21 Savage,5,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Rockstar.mp3,0.36019861698150635,0.5408160090446472,0.7057656049728394,161.4990234375,1654.1622451291983,2205.7355036637487,3590.8449533184985,-0.012892958397931325,0.07954307476261331,0.16628010712287133,0.004809581302682637,0.05551206398543814,0.0013234409530311726,0.04147896309017028,-0.02999999999999997
choruss\Psycho_chorus.wav,Psycho,Post Malone Featuring Ty Dolla $ign,6,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Psycho.mp3,0.5475097298622131,0.45172232389450073,0.36811143159866333,123.046875,3024.8171136635447,2836.5935653980537,6491.427413893189,0.004193390621431886,0.032620915837408206,-0.013353966934831816,0.059728004799538215,0.014557387991422432,0.02619439856532748,0.14284342951818885,-0.020000000000000018
choruss\I Like It_chorus.wav,I Like It,"Cardi B, Bad Bunny & J Balvin",7,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\I Like It.mp3,0.5399665236473083,0.4580429196357727,0.38037610054016113,135.99917763157896,2401.2390231199242,2389.9166494286746,4975.203248959946,-0.03767883905902503,0.056071144974713966,-0.08821298243570262,0.0495426601372745,-0.022273171581825346,-0.007934175341623613,0.09982403734520123,-0.15999999999999998
choruss\The Middle_chorus.wav,The Middle,"Zedd, Maren Morris & Grey",8,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\The Middle.mp3,0.31583720445632935,0.33784186840057373,0.3263303339481354,107.666015625,2492.0819688341185,2592.6474441684177,5344.951013145801,0.06189793772563402,0.060563019082765616,0.03479906159161836,0.01954533211344769,0.014371797308940698,0.014358701353068128,0.10316188564241487,0.0
choruss\In My Feelings_chorus.wav,In My Feelings,Drake,9,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\In My Feelings.mp3,0.6760116219520569,0.6337862610816956,0.6268317103385925,92.28515625,1474.952993991999,2139.8102261796776,3230.0804681453174,-0.054732628752874664,0.04281441112948235,-0.17683206939235094,0.10256522154578211,0.06053357014333985,0.023736373146011285,0.03518119315982972,0.06000000000000005
choruss\Girls Like You_chorus.wav,Girls Like You,Maroon 5 Featuring Cardi B,10,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Girls Like You.mp3,0.548862636089325,0.3703128397464752,0.3572814166545868,123.046875,2494.8175425194595,2826.3382029418303,5921.880857863293,0.07764113403174742,0.1967607523704567,-0.05115144961620305,0.1107560654413006,0.013203472435965782,0.005803357667416628,0.0889352142995356,-0.020000000000000018
