chorus_path,title,artist,rank,year,popularity,file_path
choruss\God's Plan_chorus.wav,God's Plan,Drake,1,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\God's Plan.mp3
choruss\Perfect_chorus.wav,Perfect,Ed Sheeran,2,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Perfect.mp3
choruss\Meant To Be_chorus.wav,Meant To Be,Bebe Rexha & Florida Georgia Line,3,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Meant To Be.mp3
choruss\Havana_chorus.wav,Havana,Camila Cabello Featuring Young Thug,4,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Havana.mp3
choruss\Rockstar_chorus.wav,Rockstar,Post Malone Featuring 21 Savage,5,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Rockstar.mp3
choruss\Psycho_chorus.wav,Psycho,Post Malone Featuring Ty Dolla $ign,6,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Psycho.mp3
choruss\I Like It_chorus.wav,I Like It,"Cardi B, Bad Bunny & J Balvin",7,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\I Like It.mp3
choruss\The Middle_chorus.wav,The Middle,"Zedd, Maren Morris & Grey",8,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\The Middle.mp3
choruss\In My Feelings_chorus.wav,In My Feelings,Drake,9,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\In My Feelings.mp3
choruss\Girls Like You_chorus.wav,Girls Like You,Maroon 5 Featuring Cardi B,10,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Girls Like You.mp3
choruss\Nice For What_chorus.wav,Nice For What,Drake,11,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Nice For What.mp3
choruss\Lucid Dreams_chorus.wav,Lucid Dreams,Juice WRLD,12,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Lucid Dreams.mp3
choruss\Better Now_chorus.wav,Better Now,Post Malone,13,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Better Now.mp3
choruss\Finesse_chorus.wav,Finesse,Bruno Mars & Cardi B,14,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Finesse.mp3
choruss\Boo'd Up_chorus.wav,Boo'd Up,Ella Mai,15,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Boo'd Up.mp3
choruss\New Rules_chorus.wav,New Rules,Dua Lipa,16,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\New Rules.mp3
choruss\Sad!_chorus.wav,Sad!,XXXTENTACION,17,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Sad!.mp3
choruss\Never Be The Same_chorus.wav,Never Be The Same,Camila Cabello,18,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Never Be The Same.mp3
choruss\Love Lies_chorus.wav,Love Lies,Khalid & Normani,19,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Love Lies.mp3
choruss\No Tears Left To Cry_chorus.wav,No Tears Left To Cry,Ariana Grande,20,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\No Tears Left To Cry.mp3
choruss\Mine_chorus.wav,Mine,Bazzi,21,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Mine.mp3
choruss\Thunder_chorus.wav,Thunder,Imagine Dragons,22,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Thunder.mp3
choruss\Look Alive_chorus.wav,Look Alive,BlocBoy JB Featuring Drake,23,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Look Alive.mp3
choruss\Delicate_chorus.wav,Delicate,Taylor Swift,24,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Delicate.mp3
choruss\Yes Indeed_chorus.wav,Yes Indeed,Lil Baby & Drake,25,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Yes Indeed.mp3
choruss\Friends_chorus.wav,Friends,Marshmello & Anne-Marie,26,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Friends.mp3
choruss\Bad At Love_chorus.wav,Bad At Love,Halsey,27,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Bad At Love.mp3
choruss\Taste_chorus.wav,Taste,Tyga Featuring Offset,28,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Taste.mp3
choruss\Let You Down_chorus.wav,Let You Down,NF,29,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Let You Down.mp3
choruss\No Limit_chorus.wav,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,30,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\No Limit.mp3
choruss\FEFE_chorus.wav,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,31,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\FEFE.mp3
choruss\Tequila_chorus.wav,Tequila,Dan + Shay,32,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Tequila.mp3
choruss\Feel It Still_chorus.wav,Feel It Still,Portugal. The Man,33,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Feel It Still.mp3
choruss\MotorSport_chorus.wav,MotorSport,"Migos, Nicki Minaj & Cardi B",34,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\MotorSport.mp3
choruss\I Like Me Better_chorus.wav,I Like Me Better,Lauv,35,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\I Like Me Better.mp3
choruss\Youngblood_chorus.wav,Youngblood,5 Seconds Of Summer,36,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Youngblood.mp3
choruss\Whatever It Takes_chorus.wav,Whatever It Takes,Imagine Dragons,37,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Whatever It Takes.mp3
choruss\Ric Flair Drip_chorus.wav,Ric Flair Drip,Offset & Metro Boomin,38,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Ric Flair Drip.mp3
choruss\I Fall Apart_chorus.wav,I Fall Apart,Post Malone,39,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\I Fall Apart.mp3
choruss\Pray For Me_chorus.wav,Pray For Me,The Weeknd & Kendrick Lamar,40,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Pray For Me.mp3
choruss\Back To You_chorus.wav,Back To You,Selena Gomez,41,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Back To You.mp3
